ID,T1,T2,S1,S2,n. implicit term,Sentence,Author,ref page or link,source,long context
0,skyscraper,architecture,boast,interpersonal-relations,0,A skyscraper is in architecture as a boast is in interpersonal relations.,Mason Cooley,7,Grothe,
1,committee,ideas,cul-de-sac,people,0,A committee is a cul-de-sac down which ideas are lured and then quietly strangled.,Barnett Cocks,1,Grothe,
2,envious,passion,iron,rust,0,"As iron is eaten away by rust, so the envious are consumed by their own passion.",Antisthene,4,Grothe,
3,reading,mind,exercise,body,0,Reading is to the mind what exercise is to the body.,Joseph Addison,4,Grothe,
4,good news,far country,cold water,thirsty soul,0,"As cold waters to a thirsty soul, so is good news from a far country.",The bible proverbs 25:25,4,Grothe,
5,tears,soul,soap,body,0,"As soap is to the body, tears are to the soul.",Yiddish proverb,4,Grothe,
6,insanity,art,garlic,salad,0,"What garlic is to salad, insanity is to art.",Augustus Saint-Gaudens,4,Grothe,
7,mural,restaurant,food,museum,0,The murals in restaurants are on a par with the food in museums.,Peter de Vries,5,Grothe,
8,Al Capone,crime,J.P. Morgan,Wall Street,0,"Al Capone was to crime what J.P. Morgan was to Wall Street, the first man to exert national influence over his trade.",Andrew Sinclair,5,Grothe,
9,prisons,crime,greenhouses,plants,0,Prisons are to crime what greenhouses are to plants.,Henry David Thoreau,6,Grothe,
10,men and women,world,players,stage,0,"All the world's a stage, and all the men and women merely players. They have their exits and entrances, and one man in his time plays many parts.",Shakespeare,9,Grothe,
11,books,human,shells,lobsters,0,"Books... are like lobster shells, we surround ourselves with them, then we grow out of them and leave them behind, as evidence of our earlier stage of development.",Dorothy L. Slayers,12,Grothe,
12,novels,movies,wife,mistress,0,"Novels are like wives;  you don't talk about them. But movies are different; they are like mistresses, and you can brag a bit.",Anton Chekhov,11,Grothe,
13,medicine,literature,wife,mistress,0,"Medicine is my lawful wife and literature is my mistress; when I tire of one, I spend the night with the other.",Anton Chekhov,11,Grothe,
14,love,life,the only flower,banks of grey torrent,0,"On the banks of the grey torrent of life, love is the only flower.",,167,Grothe,
15,books,movie,oxen,bouillon cubes,0,Having your book turned into a movie is like seeing your oxen turned into bouillon cubes.,John Le Carré,239,Grothe,
16,prince ,flattery,pope,infallibility,0,A prince who writes against flattery is as strange as a pope who writes against infallability.,Voltaire,271,Grothe,
17,other countries,his own,other woman,his own wife,0,The man who loves other countries as much as his own stands on a level with the man who loves other women as much as he loves his own wife.,Theodore Roosevelt,270,Grothe,
18,ideas,politics,arrows,bow,0,"Ideas are lie arrows, but there has to be a bow. And politics is the bow of idealism.",Bill Moyers,268,Grothe,
19,Washington D.C.,lying,Wisconsin,cheese,0,Washington D.C. is to lying what Wisconsin is to cheese.,Dennis Miller,268,Grothe,
20,ideas,words,wilderness,walls,0,A definition is the enclosing a wilderness of idea within a wall of words.,Samuel Butler,102,Grothe,
21,fiction and love,romance,<parents>,offspring,1,Romance has been elegantly defined as the offspring of fiction and love.,Isaac D'Israeli,147,Grothe,
22,love,hearts,net,fish,0,Love is a net that catches hearts like a fish.,Muhammad Alo,163,Grothe,
23,person,work,person,portrait,0,"Every person's work, whether it be literature or music or pictures or architecture or anything else, is always a portrait of that person.",Samuel Butler,46,Grothe,
24,life,determinism,game of cards,the hand that is dealt you,0,Life is like a game of cards. The hand that is dealt you represents determinism.,Jawaharlal Nehru,121,Grothe,
25,life,individual,tapestry,thread,0,Life is a great tapestry. The individual is only an insignificant thread in an immense and miraculous pattern. ,,,Grothe,
26,sport,life,toy department,store,0,Sports is the toy department of life.,chapter title,274,Grothe,
27,film director,actor,midwife,pregnant woman,0,"A film director is not a creator, but a midwife. His business is to deliver the actor of a child that he did not know he had within him.",Jean Renoir,238,Grothe,
28,patriotism,political life,faith,religion,0,Patriotism is in political life what faith is in religion.,John Dahlberg,259,Grothe,
29,incumbent member of the congres,term limits,chicken,Colonel Sanders,0,Asking an incumbent member of the congress to vote for term limits is a bit like asking a chicken to vote for Colonel Sanders.,Bob Inglis,260,Grothe,
30,the president of the United States,real business,Colonel Sanders,frying chicken,0,The president of the United States bears about as much relationship to the real business of running America as does the Colonel Sanders to the business of frying chicken.,J.G. Ballard,260,Grothe,
31,group of politicial,president,Mafia,Godfather,0,A group of politicians deciding to dump a President because his morals are bad is like the Mafia getting together to bump off the Godfather for not going to the church.,Russell Baker,259,Grothe,
32,nationalism,mankind,infantile disease/measles,mankind,0,Nationalism is an infantile disease. It is the measles of mankind.,Albert Einstein,263,Grothe,
33,power,hearts,wine,heads,0,"Power will intoxicate the best hearts, as wine the strongest heads.",Charles Caleb Colton,262,Grothe,
34,anger,mind,wind,lamp,0,Anger is a wind which blows out the lamp of the mind.,Robert G. Ingersoll,105,Grothe,
35,autumn,leaf,second spring,flower,0,Autumn is a second spring when every leaf is a flower.,Albert Camus,105,Grothe,
36,despair,hope,vinegar,wine,0,Despair is vinegar from the wine of hope.,Austin O'malley,106,Grothe,
37,dance,movement,poem,word,0,The dance is a poem of which each movement is a word.,Mata Hari,106,Grothe,
38,egotism,stupidity,anesthetic,pain,0,Egotism is the anesthetic that dulls the pain of stupidity.,Frank Leahy,108,Grothe,
39,feedback,champion,breakfast,champion,0,Feedback is the breakfast of champions.,Ken Blanchard & Spencer Johnson,108,Grothe,
40,music,silence,wine,cup,0,Music is the wine that fills the cup of silence.,Robert Fripp,112,Grothe,
41,vulgarity,charm,garlic,salad,0,Vulgarity is the garlic in the salad of charm.,Cyrill Connolly,115,Grothe,
42,zeal,indecisiveness,volcano,grass,0,"Zeal is a volcano, on the peak of which the grass of indecisiveness does not grow.",Kahlil Gibran,116,Grothe,
43,alcohol,life,anesthesia,operation,0,Alcohol is the anesthesia by which we endure the operation of life.,George Bernard Shaw,120,Grothe,
44,meeting,two personalities,contact,two chemical substances,0,"The meeting of two personalities is like the contact of two chemical substances: if there is any reaction, both are transformed.",Carl Jung,149,Grothe,
45,"caresses, expressions of one sort or another",affection,leaves,tree,0,"Caresses, expressions of one sort or another, are necessary to the life of the affections, as leaves are to the life of a tree. If they are wholly restrained, love will die at the roots.",Nathaniel Howthorne,149,Grothe,
46,man,woman,every season,spring,0,"A man has every season, while a woman has only the right to spring.",Jane Fonda,148,Grothe,
47,man,woman's weakness,huntsman,cool spring,0,A man who discovers a woman's weakness is like the huntsman in the heat of the day who finds a cool spring. He wallows in it.,Jean Giraudoux,148,Grothe,
48,man,space,dog,computer,0,Giving a man space is like giving a dog a computer: the chances are he will not use it wisely.,Bette-Jane Raphael,153,Grothe,
49,men,fashionable woman,men,horse,0,"The great majority of men, especially in France, both desire and possess a fashionable woman, much in the way one might own a fine horse - as a luxury befitting a young man.",Stendhal,155,Grothe,
50,man,woman,hunter,game,0,Man is the hunter; woman is the game.,"Alfred, Lord Tennyson",155,Grothe,
51,soul,fool,moon,darkness,0,"As the moon retains her nature,
though darkness spread itself before her face as a curtain,
so the Soul remains perfect
even in the bosom of the fool.",Akhenaton,,Grothe,
52,man,ideas,general,soldiers,0,"A man is not necessarily intelligent because he has plenty of ideas, any more than he is a good general because he has plenty of soldiers. ",Nicolas Chamfort,46,Grothe,
53,men,experience,ship,stern lights,0,"To most men, experience is like the stern lights of a ship which illuminate only the track it has passed.",Samuel Taylor Coleridge,47,Grothe,
54,global warming,homo sapiens,fever,deadly infection,0,Global warning might be a fever the earth is running in an attempt to ward off a deadly infection known as homo sapiens.,Rick Bayan,109,Grothe,
55,actors,plays,jockeys,horses,0,"Actors are the jockeys of literature. Others supply the horses, the plays, and we simply make them run",Ralph Ridchardson,237,Grothe,
56,thinking,faith,caravan,oasis,0,"Faith is the oasis of the heart, which will never be reached by the caravan of thinking.",Kahlil Gibran,103,Grothe,
57,money and power,government,whiskey and car keys,teenage boys,0,Giving money and power to government is like giving whiskey and car keys to teenage boys.,O'Rourke,6,Grothe,
58,America,<poor people>,cupcake,starving people,1,America is an enormous frosted cupcake in the middle of millions of starving people,Gloria Steinem,8,Grothe,
59,art,imagination,sex,<body>,1,Art is the sex of the imagination,George Jean Nathan,8,Grothe,
60,worry,trouble,interest,<debt>,1,Worry is interest paid on trouble before it falls due,W.R. Inge,8,Grothe,
61,world,<one location>,book,one page,1,"The world is a book, and those who do not travel read only one page.",St Augustine,11,Grothe,
62,art,old culture,Distant Early Warning System,<people>,1,Art at its most significant is a Distant Early Warning System that can always be relied on to tell the old culture what is beginning to happen to it.,Marshall Mcluhan,11,Grothe,
63,books,shelves,souls,<prison>,1,Books are like imprisonned souls till someone takes them down from a shelf and frees them.,Samuel Butler,12,Grothe,
64,puns,words,circus,<performer>,1,Puns are a three-way Circus of words : [..] words thrusting their heads into the mouths of lions.,Richard Lederer,10,Grothe,
65,critics,<exhibition>/<art circle>/<location>,pigs,pastry cart,1,Critics are like pigs in a pastry cart.,,15,Grothe,
66,simile ,literary text,wedge of lemon,cupcake,1,"Simile is the most familiar of all literary embellishments, in a class with a wedge of lemon or a sprig of parsley. It can raise a cupcake to the level of a petit four.",James J. Kilpatrick,17,Grothe,
67,unsolicited advice,life,junk mail,<mail box>,1,Unsolicited advice is the junk mail of life.,,105,Grothe,
68,Fame,<public>,fickle food,shifting plate,1,Fame is a fickle food upon a shifting plate.,Emily Dickinson,103,Grothe,
69,birthday,time,feather,broad wing,1,Our birthdays are feathers in the broad wing of time.,Jean Paul Richter,105,Grothe,
70,tears,heart,safety valve,<machine>,1,Tears are the safety valve of the heart when too much pressure is led on it.,Albert Smith,114,Grothe,
71,friends quarrel,<reconciliation>,broken bone,callosity,1,"A quarrel between friends, when made up, adds a new tie to friendship, as experience shows that the callosity formed round a broken bone makes it stronger than before","St, Francis de Sales",146,Grothe,
72,life,<humans>,hospital,patient,1,"Life is a hospital in which every patient is possessed by the desire of changing his bed. One would prefer to suffer near the fire, and another is certain he would get well if he were by the window.",Charles Baudelaire,70,Grothe,
73,life,<fraternity>/<support>,kid,lapel,1,"Life loves to be taken by the lapel and told, ""I am with you kid, lets go.""",Maya Angelou,122,Grothe,
74,life,<old age>,moderately good play,badly written third act,1,Life is a moderately good play with a badly written third act.,Truman Capote.,125,Grothe,
75,society,<social class>,stew,layer of scum,1,"Society is like a stew. If you don't stir it up every once in a while, then a layer of scum floats to the top.",Edward Abbey,17,Grothe,
76,I,intuition,I,spear,1,"I make all my decisions on intuition. I throw a spear into the darkness, that is intuition. ",Ingmar Bergman,238,Grothe,
77,money,politics,mothers's milk,<baby>,1,Money is the mother's milk of politics.,Jesse Unruh,258,Grothe,
78,<me>,chair of Government,culprit,place of execution,1,My movements to the chair of Government will be accompanied by feelings not unlike those of a culprit who is going to the place of his execution.,George Washington,256,Grothe,
79,written laws,poor and weak,spiders' webs,<weak insects>,1,"Written laws are like spiders' webs, and will, like them, only entangle and hold the poor and weak [...].",Anacharsis,257,Grothe,
80,written laws,rich and powerful,spiders' webs,<strong insects>,1,Written laws are like spiders' webs [...] the rich and powerful will easily break through them.,Anacharsis,257,Grothe,
81,laws,<offenders>,cobwebs,small flies,1,"Laws are like cobwebs, which may catch small flies.",Jonathan Swift,257,Grothe,
82,laws,<criminals>,cobwebs,wasps and hornets,1,"Laws are like cobwebs, [...] let wasps and hornets break through.",Jonathan Swift,257,Grothe,
83,politics,war,womb,<foetus>,1,Politics is the womb in which war develops.,Karl Von Clausewitz,262,Grothe,
84,man's action,creed,picture book,<story>,1,A man's action is only a picture book of his creed.,Ralph Waldo Emerson,104,Grothe,
85,adventure,life,champagne,<party>/<event>,1,Adventure is the champagne of life.,G. K. Chesterton,104,Grothe,
86,adjective,part of speech,banana peel,<safer ground>,1,The adjective is the banana peel of the part of speech.,Clifton Fadiman,104,Grothe,
87,modern English,languages,Wal-Mart,<shops>,1,"Modern English is the Wal-Mart of languages: convenient, huge, hard to avoid, superficially friendly, and devouring all rivals in its eagerness.",Mark Abley,104,Grothe,
88,apology,life,super-glue,<object>,1,An apology is the super glue of life. It can repair just about anything.,Lynn Johnston,105,Grothe,
89,doctrine,truth,skin,<body>,1,Doctrine is nothing but the skin of truth set up and stuffed.,Henry Ward Beecher,107,Grothe,
90,chaos,<reality>,score,music,1,Chaos is the score upon which reality is written.,Henry Miller,106,Grothe,
91,courage,other virtues,ladder,<persons>,1,Courage is the ladder on which other virtues mount.,Clare Booth Luce,106,Grothe,
92,tear,compassion,dew,<surface>/<plants>,1,The dew of compassion is a tear.,Lord Byron,106,Grothe,
93,compromise,<intransigence>,umbrella,roof,1,"Compromise makes a good umbrella, but a poor roof.",James Russell Lowell,106,Grothe,
94,dress,body,vase,<malleable substance>,1,The dress is the vase which the body follows.,Pierre Cardin,108,Grothe,
95,failure,success,condiment,<dish>,1,Failure is the condiment that gives success its flavor.,Truman Capote ,108,Grothe,
96,flower,reproduction,poetry,<agent>,1,The flower is the poetry of reproduction.,Jean Giraudoux,108,Grothe,
97,freedom,soul,oxygen,<body>,1,Freedom is the oxygen of the soul.,Moshe Dayan,109,Grothe,
98,genius,infinite,promontory,<horizon>,1,Genius is a promontory jutting out into the infinite.,Victor Hugo,109,Grothe,
99,habit,<act>,cable,thread,1,"Habit is a cable; we weave a thread of it each day, and at last we cannot break it.",Horace Mann,109,Grothe,
100,procrastination,time,thief,<good>,1,Procrastination is the thief of time.,Edward Young,113,Grothe,
101,poverty,crime,mother,<child>,1,Poverty is the mother of crime.,Marcus Aurelius,113,Grothe,
102,proverb,anonymous human history,seed,<tree>,1,A proverb is anonymous human history compressed to the size of a seed.,Stefan Kanfer,113,Grothe,
103,peanut butter,children,paté,<pet>,1,Peanut butter is paté for children.,Brigitte Bardot,113,Grothe,
104,religion,soul,bandage,<wound>,1,"If I were to personally define religion, I would say that it is a bandage that man has invented to protect a soul made bloody by circumstance.",Theodore Dreiser,113,Grothe,
105,riot,unheard,language,<people>,1,A riot is the language of the unheard.,"Martin Luther King, Jr",114,Grothe,
106,scientists,eternity,peeping toms,<bedroom>,1,Scientists are peeping toms at the keyhole of eternity.,Arthur Koestler,114,Grothe,
107,skepticism,intellect,chastity,<body>,1,Skepticism is the chastity of the intellect.,George Santayana,114,Grothe,
108,thought,action,seed,<plant>,1,Thought is the seed of action.,Ralph Waldo Emerson,115,Grothe,
109,virtue,soul,beauty,<body>,1,Virtue is the beauty of the soul,Socrates,115,Grothe,
110,word,<sentence>/<phrase>,bud,twig,1,A word is a bud attempting to become a twig.,Gaston Bachelard,116,Grothe,
111,life,<well-being>,bicycle,balance,1,Life is like riding a bicycle. To keep your balance you must keep moving.,Albert Einstin,119,Grothe,
112,life,"<potential>,<skills>",ten-speed bicycle,gears,1,Life is like a ten-speed bicycle. Most of us have gears we never use.,Charles M. Schulz,119,Grothe,
113,face ,happiness,foundation,<construction>,1,A face is too slight a foundation for happiness.,Mary Wortley Montagu,152,Grothe,
114,glances,flirt,heavy artillery,"<battle>,<war>",1,"Glances are the heavy artillery of the flirt: everything can be conveyed in a look, yet that look can always be denied, for it cannot be quoted word for word.",Stendhal,155,Grothe,
115,prejudice,human condition,psoriasis,<bodies>,1,"Prejudice is the psoriasis of the human condition: it's unsightly and it never completely vanishes, but with a little care we can keep it under control.",Rick Bayan,46,Grothe,
116,mind,<ideas>,fathers or mothers,own children,1,No fathers or mothers think their own children ugly; and this self-deceit is yet stronger with respect to the offspring of the mind.,Miguel de Cervantes,46,Grothe,
117,people,<mind>,oar,water,1,There are some people who leave impression not so lasting as the imprint of an oar upon the water.,Kate Chopin,47,Grothe,
118,criticism,<mind>,pain,body,1,"Criticism may not be agreeable, but it is necessary, It fulfills the same function as pain in the human body. It calls attention to an unhealthy state of things.",Winston Chirchill,47,Grothe,
119,<dating-activities>,old boyfriend,garage sale,old stuff,1,"When you get back together with an old boyfriend, it's pathetic. It's like having a garage sale and buying your own stuff back.",Laura Kightlinger,149,Grothe,
120,everything that reminds of her,me,spear,<me>,1,Everything that reminds me of her goes through me like a spear.,John Keats,149,Grothe,
121,<candidates>,<population>,foxes,poultry,2,"An election is coming. Universal peace is declared, and the foxes have a sincere interest in prolonging the lives of the poultry.",George Eliot,263,Grothe,
122,exaggeration,truth,<person who has lost their temper>,<person who hasn't lost their temper>,2,Exaggeration is truth that has lost its temper.,Kahlil Gibran,108,Grothe,
123,man,friendship,<man>,<machine>/<precious object>,2,A man... should keep his friendship in constant repair.,Dr Samuel Johnson,149,Grothe,
124,thoughts,mind,rat,muck-heap,0,"One of those involuntary revealing thoughts one surprises, running like a rat through the muck-heap of my mind: Maybe I'll be able to afford that ikon if he goes.","Friend, Donald ",https://metaphors.iath.virginia.edu/metaphors/24508,metaphors of mind,"I wonder what will happen tomorrow.
One of those involuntary revealing thoughts one surprises, running like a rat through the muck-heap of my mind: Maybe I'll be able to afford that ikon if he goes."
125,mind,religion,night sky,visible and invisible things,0,Her mind was as full of religion as a night sky is full of things visible and invisible. She left the man and took his religion and became a nun in the course of time.,"Spark, Muriel",https://metaphors.iath.virginia.edu/metaphors/17442,metaphors of mind,"The family had returned and their meetings were dangerous and exciting. The more she discovered him to be still in love with Jean Brodie, the more she was curious about the mind that loved the woman. By the end of the year it happened that she had quite lost interest in the man himself, but was deeply absorbed in his mind, from which she extracted, among other things, his religion as a pith from a husk. Her mind was as full of religion as a night sky is full of things visible and invisible. She left the man and took his religion and became a nun in the course of time."
126,mind,fact,cake,knife-edge ,0,"Your mind now, mouldering like wedding-cake
heavy with useless experience, rich
with suspicion, rumor, fantasy,
crumbling to pieces under the knife-edge
of mere fact.","Rich, Adrienne",https://metaphors.iath.virginia.edu/metaphors/19648,metaphors of mind,"You, once a belle in Shreveport,
with henna-colored hair, skin like a peachbud,
still have your dresses copied from that time.
and play a Chopin prelude
called by Cortot: ""Delicious recollections
float like perfume through the memory.""

Your mind now, mouldering like wedding-cake
heavy with useless experience, rich
with suspicion, rumor, fantasy,
crumbling to pieces under the knife-edge
of mere fact. In the prime of your life."
127,mind,blank,TV,switch off,0,"Everything spun around him; then his mind blanked, like a TV suddenly switched off.",Jerzy N. Kosinski,https://metaphors.iath.virginia.edu/metaphors/17520,metaphors of mind,"The small screen and the sounds of the TV separated them from the noise of the street. A car suddenly pulled in front of them, and the chauffeur braked sharply. As Chance braced himself for the sudden lurch, a pain pierced his leg. Everything spun around him; then his mind blanked, like a TV suddenly switched off."
128,mind,reality,prism,light,0,"The mind works like a prism, and when a ray of light enters the prism it is divided into seven colors. Mind is a prism and reality is divided through it.",Osho ,https://metaphors.iath.virginia.edu/metaphors/17595,metaphors of mind,"The mind works like a prism, and when a ray of light enters the prism it is divided into seven colors. Mind is a prism and reality is divided through it. That is why mind revels in analysis. It goes on dividing things into fragments, and it cannot prevent itself unless there is nothing to be divided anymore. So mind has a tendency to reach to the atomic, the lowest division. It goes on dividing, dividing, until a moment comes when no division is possible. If division is still possible, it will divide still further."
129,mind,itself,object,shadow,0,Mind contemplating mind is like an object and its shadow--the object cannot shake the shadow off. The two are one.,Thich Nhat Hanh,https://metaphors.iath.virginia.edu/metaphors/24147,metaphors of mind,"The mind is like a monkey swinging from branch to branch through a forest, says the Sutra. In order not to lose sight of the monkey by some sudden movement, we must watch the monkey constantly and even to be one with it. Mind contemplating mind is like an object and its shadow--the object cannot shake the shadow off. The two are one. Wherever the mind goes, it still lies in the harness of the mind. The Sutra sometimes uses the expression ""Bind the monkey"" to refer to taking hold of the mind. But the monkey image is only a means of expression. Once the mind is directly and continually aware of itself, it is no longer like a monkey. There are not two minds, one which swings from branch to branch and another which follows after to bind it with a piece of rope."
130,mind,meditative object,elephant,a trunk or a post,0,"The discipline tying mind in that way to the meditative object is expressed by the simile of training an elephant, for example, a wild elephant is tied with many massive cords to a trunk or a post.","— Wayman, Alex",https://metaphors.iath.virginia.edu/metaphors/24149,metaphors of mind,"The discipline tying mind in that way to the meditative object is expressed by the simile of training an elephant, for example, a wild elephant is tied with many massive cords to a trunk or a post. However the elephant [may] stamp as he has learned ot do, he is indeed unable to do anything (about it), and being more and more enmeshed with the sharp hooks, is defeated and subdued (""broken in""). The mind is like the untrained elephant. When it is bound with the cord of mindfulness to the firm post of the previously discussed meditative object, [even] if it is unwilling to remain there, it is gradually brought under control, goaded by the hook of awareness. [...]"
131,brains,functional profile,trees,physical profile,0,"Like trees similar in their gross physical profile, brains can be similar in their gross functional profiles while being highly idiosyncratic in the myriad details of their fine-grained arborization.","Churchland, Paul ",https://metaphors.iath.virginia.edu/metaphors/20096,metaphors of mind,"While the weights are of essential importance for understanding long-term learning nad fundamental conceptual change, the partitions across the activation space, and the prototypical hot-spots they harbor, are much more useful in reckoning the cognitivie and behavioral similarities across individuals in the short term. People react to the world in similar ways not because their underlying weight configurations are closely similar on a synapse-by-synapse comparison, but because their activation spaces are similarly partitioned. Like trees similar in their gross physical profile, brains can be similar in their gross functional profiles while being highly idiosyncratic in the myriad details of their fine-grained arborization."
132,brain,chemical balance,cake,right amount of each ingredient,0,"Just as a cake recipe requires you to use flour, sugar, and baking powder in the right amounts, your brain needs a fine chemical balance.",— Anonymous,https://metaphors.iath.virginia.edu/metaphors/25283,metaphors of mind,"Focus shifted from norepinephrine to the neurotransmitter serotonin, and, in 1988, Prozac appeared, soon followed by other selective serotonin reuptake inhibitors (SSRIs). Promotional material from GlaxoSmithKline couched the benefits of its SSRI Paxil in cozy terms: ""Just as a cake recipe requires you to use flour, sugar, and baking powder in the right amounts, your brain needs a fine chemical balance."""
133,mind occupied by lawful business,useless regret,cultivated ground,weeds,0,"Cultivated ground has few weeds; a mind occupied by lawful business, has little room for useless regret.","Johnson, Samuel (1709-1784)",https://metaphors.iath.virginia.edu/metaphors/22935,metaphors of mind,"I do not exhort you to reason yourself into tranquillity. We must first pray, and then labour; first implore the blessing of God, and those means which he puts into our hands. Cultivated ground has few weeds; a mind occupied by lawful business, has little room for useless regret."
134,charges,mind,clouds,ethereal peak of a snow-clad mount,0,"These charges, at first held in constant mind, from Theseus slipped away as clouds are impelled by the breath of the winds from the ethereal peak of a snow-clad mount.",— Gaius Valerius Catullus (c. 84 - c. 54 B.C.),https://metaphors.iath.virginia.edu/metaphors/18401,metaphors of mind,"These charges, at first held in constant mind, from Theseus slipped away as clouds are impelled by the breath of the winds from the ethereal peak of a snow-clad mount. But as his father sought the castle's turrets as watchplace, dimming his anxious eyes with continual weeping, when first he spied the discoloured canvas, flung himself headlong from the top of the crags, believing Theseus lost by harsh fate. Thus as he entered the grief-stricken house, his paternal roof, Theseus savage with slaughter met with like grief as that which with unmemoried mind he had dealt to Minos' daughter: while she gazed with grieving at his disappearing keel, turned over a tumult of cares in her wounded spirit."
